-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         0.40%       5.061ms         0.61%       7.631ms      13.156us     288.535ms        98.55%     288.535ms     497.474us           580  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     170.843ms        58.35%     170.843ms     776.557us           220  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      54.601ms        18.65%      54.601ms     252.783us           216  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      32.270ms        11.02%      32.270ms     896.385us            36  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      30.821ms        10.53%      30.821ms     285.384us           108  
                                Module:logits_processor         0.00%       0.000us         0.00%       0.000us       0.000us      28.883ms         9.87%      28.883ms       7.221ms             4  
                Module:model.layers.19.mlp.gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       3.758ms         1.28%       3.758ms     939.615us             4  
                Module:model.layers.17.mlp.gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       3.730ms         1.27%       3.730ms     932.496us             4  
                Module:model.layers.20.mlp.gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       3.654ms         1.25%       3.654ms     913.616us             4  
                Module:model.layers.14.mlp.gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       3.603ms         1.23%       3.603ms     900.719us             4  
                 Module:model.layers.2.mlp.gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       3.592ms         1.23%       3.592ms     897.983us             4  
                 Module:model.layers.1.mlp.gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       3.590ms         1.23%       3.590ms     897.432us             4  
                 Module:model.layers.0.mlp.gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       3.559ms         1.22%       3.559ms     889.760us             4  
                Module:model.layers.16.mlp.gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       3.538ms         1.21%       3.538ms     884.392us             4  
                 Module:model.layers.3.mlp.gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       3.530ms         1.21%       3.530ms     882.551us             4  
                 Module:model.layers.4.mlp.gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       3.508ms         1.20%       3.508ms     877.008us             4  
                Module:model.layers.11.mlp.gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       3.500ms         1.20%       3.500ms     875.112us             4  
