-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         0.01%       9.704ms         0.02%      15.912ms      10.974us     726.543ms        98.78%     726.543ms     501.064us          1450  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     605.010ms        82.25%     605.010ms      67.223ms             9  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     543.846ms        73.94%     543.846ms     744.995us           730  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     182.697ms        24.84%     182.697ms     253.745us           720  
                   execute_context_1(1)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      70.859ms         9.63%      70.859ms      70.859ms             1  
                                 _C::fused_add_rms_norm         0.00%       1.937ms         0.01%       4.893ms       6.796us       1.519ms         0.21%       1.519ms       2.110us           720  
std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us       1.519ms         0.21%       1.519ms       2.110us           720  
                                _vllm_fa2_C::varlen_fwd         0.01%       9.073ms         0.02%      22.477ms      62.435us       1.420ms         0.19%       1.787ms       4.965us           360  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       1.420ms         0.19%       1.420ms       3.945us           360  
                                           _C::rms_norm         0.00%       2.000ms         0.01%       5.097ms       6.982us       1.335ms         0.18%       1.335ms       1.829us           730  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 3, true...         0.00%       0.000us         0.00%       0.000us       0.000us       1.317ms         0.18%       1.317ms       1.829us           720  
                  _C_cache_ops::reshape_and_cache_flash         0.00%       1.275ms         0.00%       2.770ms       7.695us       1.262ms         0.17%       1.262ms       3.507us           360  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us       1.262ms         0.17%       1.262ms       3.507us           360  
                                       _C::silu_and_mul         0.00%     870.336us         0.00%       2.411ms       6.696us     974.624us         0.13%     974.624us       2.707us           360  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us     974.624us         0.13%     974.624us       2.707us           360  
                                   _C::rotary_embedding         0.00%       1.021ms         0.00%       2.550ms       7.084us     799.713us         0.11%     799.713us       2.221us           360  
void vllm::rotary_embedding_kernel<c10::BFloat16, c1...         0.00%       0.000us         0.00%       0.000us       0.000us     799.713us         0.11%     799.713us       2.221us           360  
                                         aten::_softmax         0.00%     120.144us         0.00%     211.280us      21.128us     523.264us         0.07%     523.264us      52.326us            10  
